name,price,img,km,year,type
سول 2018 فل الكتريك فل مدخلين  ارخص سياره كهرباء,12599,https://opensooq-images.os-cdn.com/previews/220x0/eb25/8338/eb2583387ce47b64ac9fceb87916c8d9255a0903f43292baa8cc144de47a7566.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2018,كيا
هونداي افانتي 2015 وارد كوريا جمرك حديث,13200,https://opensooq-images.os-cdn.com/previews/220x0/83a3/4b8a/83a34b8aaf6e6e0022def17daac07ea15cbfb41ac1d41b4a9731a6d9f603d3ca.jpg.jpg,"٤٠,٠٠٠ - ٤٩,٩٩٩",2015,هيونداي
اكسنت 2016 وارد كوريا جمرك حديث,11200,https://opensooq-images.os-cdn.com/previews/220x0/0217/5b78/02175b78d243c4acbf893fe9395a8807c5596d04dc4430688c829ea86c93b0b8.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2016,هيونداي
كيا بيكانتو مورننغ جمرك حديث وارد كوريا,8600,https://opensooq-images.os-cdn.com/previews/220x0/df20/4c30/df204c3039cce8d6dc55aaaf297adc8263d66270575d4c9473720bc75f143b5d.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2015,كيا
هونداي AD جمرك جديد . وارد كوريا,13900,https://opensooq-images.os-cdn.com/previews/220x0/33a3/010a/33a3010a722a4098cb1c7878b7d7422cb461a59a71281b6e7f3276e13431a0b0.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2016,هيونداي
هونداي ايونيك فل كهرباء 2017,13900,https://opensooq-images.os-cdn.com/previews/220x0/ad32/8c78/ad328c78e856850ad16eb69ed8114b994f12a1f35ed6a4c2a4bd7176965dd782.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2017,هيونداي
