name,price,img,km,bathroom,sleepingroom,latitude,longitude,address,address_accurate,row_address
شقة مميزة للبيع بمساحة 120م بأجمل مناطق الجبيهة بتشطيبات سوبر ديلوكس طابق اول,56000,https://opensooq-images.os-cdn.com/previews/220x0/67bc/6c81/67bc6c810a72903c4a34175caf2200a8a822470ae8fc20eb6cc109a37dc20c98.jpg.jpg,120,٣ حمّامات,٣ غرف نوم,32.0206576,35.8685747,عمان الجبيهة,"الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن","{'place_id': 52099805, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4267496191, 'boundingbox': ['32.0206076', '32.0207076', '35.8685247', '35.8686247'], 'lat': '32.0206576', 'lon': '35.8685747', 'display_name': 'الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
.شقة 320م  طابقين دوبلكس مع حديقة - مرج الحمام,147000,https://opensooq-images.os-cdn.com/previews/220x0/5495/a1d0/5495a1d0b75e5adedfcb92e9d2ea8158713b2f9a5c766f018ecabc13dbe755b2.jpg.jpg,320,+٥ حمّامات,٣ غرف نوم,31.9016521,35.8517493,عمان مرج الحمام,"مرج الحمام, عمان, 11821, Jordan / الأُرْدُن","{'place_id': 50903492, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4064715581, 'boundingbox': ['31.7416521', '32.0616521', '35.6917493', '36.0117493'], 'lat': '31.9016521', 'lon': '35.8517493', 'display_name': 'مرج الحمام, عمان, 11821, Jordan / الأُرْدُن', 'class': 'place', 'type': 'city', 'importance': 0.6752906718837797, 'icon': 'https://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png'}"
شقة مساحة 200-221م2 بلاقساط تصل 36 شهر مع روف 100 م2 بموقع مميز بخلدا .,130000,https://opensooq-images.os-cdn.com/previews/220x0/027f/3fca/027f3fcaafa6cf74238eda61a7fc8dc6438b10a3aa1d2b5f5280dd2aba1f9a0a.jpg.jpg,200,٣ حمّامات,٣ غرف نوم,31.9998333,35.8498379,عمان خلدا,"خلدا, الكمالية, عمان, 11196, Jordan / الأُرْدُن","{'place_id': 7170579, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 802863518, 'boundingbox': ['31.9997833', '31.9998833', '35.8497879', '35.8498879'], 'lat': '31.9998333', 'lon': '35.8498379', 'display_name': 'خلدا, الكمالية, عمان, 11196, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
شقة مساحة 185م2 مع روف 100م2 بلاقساط تصل 36 شهر مع روف بموقع بخلدا,98000,https://opensooq-images.os-cdn.com/previews/220x0/8372/ab2a/8372ab2a0f084cafd262c2f6de4e357ad586ec0eda3961824020ace39d8d04e1.jpg.jpg,185,٣ حمّامات,٣ غرف نوم,31.9998333,35.8498379,عمان خلدا,"خلدا, الكمالية, عمان, 11196, Jordan / الأُرْدُن","{'place_id': 7170579, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 802863518, 'boundingbox': ['31.9997833', '31.9998833', '35.8497879', '35.8498879'], 'lat': '31.9998333', 'lon': '35.8498379', 'display_name': 'خلدا, الكمالية, عمان, 11196, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
شقق للبيع في أجمل مناطق شفا بدران,46000,https://opensooq-images.os-cdn.com/previews/220x0/9cfd/bee5/9cfdbee53099f6444a4ee7d79d39cd46698786833a89423ab278caeb0950d55c.jpg.jpg,110,٣ حمّامات,٣ غرف نوم,32.0471187,35.9093754,عمان شفا بدران,"شارع شفا بدران, شفابدران, عمان, 0962, Jordan / الأُرْدُن","{'place_id': 98470049, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 40223331, 'boundingbox': ['32.0405754', '32.053643', '35.9081818', '35.9112'], 'lat': '32.0471187', 'lon': '35.9093754', 'display_name': 'شارع شفا بدران, شفابدران, عمان, 0962, Jordan / الأُرْدُن', 'class': 'highway', 'type': 'secondary', 'importance': 0.41000000000000003}"
شقة طابق ثالث  140m سوبر ديلوكس بمنطقه مطلة وهادئه,52000,https://opensooq-images.os-cdn.com/previews/220x0/2dcd/8ebb/2dcd8ebb85cf6207b4aaae2a53c5e9fa6a316836d86e558bbbef640fd55540a5.jpg.jpg,140,٣ حمّامات,٣ غرف نوم,32.003056,35.947222,عمان طبربور,"طبربور, طارق, عمان, 11191, Jordan / الأُرْدُن","{'place_id': 7076065, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 798899785, 'boundingbox': ['32.003006', '32.003106', '35.947172', '35.947272'], 'lat': '32.003056', 'lon': '35.947222', 'display_name': 'طبربور, طارق, عمان, 11191, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
بالاقساط 500 شهري ( 70 شهر) مرج الحمام ومن المالك,62000,https://opensooq-images.os-cdn.com/previews/220x0/b893/da5c/b893da5ce5c84409ba5c130deb26bc11b29c655ea0ac99d31d5d149928c06ed1.jpg.jpg,120,٣ حمّامات,٣ غرف نوم,31.9016521,35.8517493,عمان مرج الحمام,"مرج الحمام, عمان, 11821, Jordan / الأُرْدُن","{'place_id': 50903492, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4064715581, 'boundingbox': ['31.7416521', '32.0616521', '35.6917493', '36.0117493'], 'lat': '31.9016521', 'lon': '35.8517493', 'display_name': 'مرج الحمام, عمان, 11821, Jordan / الأُرْدُن', 'class': 'place', 'type': 'city', 'importance': 0.6752906718837797, 'icon': 'https://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png'}"
name,price,img,km,bathroom,sleepingroom,latitude,longitude,address,address_accurate,row_address
شقق سوبر ديلوكس للبيع مساحة 150متر مربع  3 نوم 3حمامات مطبخ معيشة صالون برنده,75000,https://opensooq-images.os-cdn.com/previews/220x0/d032/b7d8/d032b7d88953c57061ab6d0a4e25d5f1c41d10033809aceec19d7ba3f2132544.jpg.jpg,150,٣ حمّامات,٣ غرف نوم,31.9016521,35.8517493,عمان مرج الحمام,"مرج الحمام, عمان, 11821, Jordan / الأُرْدُن","{'place_id': 50903492, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4064715581, 'boundingbox': ['31.7416521', '32.0616521', '35.6917493', '36.0117493'], 'lat': '31.9016521', 'lon': '35.8517493', 'display_name': 'مرج الحمام, عمان, 11821, Jordan / الأُرْدُن', 'class': 'place', 'type': 'city', 'importance': 0.6752906718837797, 'icon': 'https://nominatim.openstreetmap.org/images/mapicons/poi_place_city.p.20.png'}"
شقة للبيع ضاحية الرشيد الجبيهة شارع سليمان المصري من المالك مباشرة 155 متر معفية,94000,https://opensooq-images.os-cdn.com/previews/220x0/c429/fb12/c429fb1256b91e7cd186c87b9793d8632bf356e639f6822485d78868e2197a34.jpg.jpg,155,٣ حمّامات,٣ غرف نوم,32.0206576,35.8685747,عمان الجبيهة,"الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن","{'place_id': 52099805, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 4267496191, 'boundingbox': ['32.0206076', '32.0207076', '35.8685247', '35.8686247'], 'lat': '32.0206576', 'lon': '35.8685747', 'display_name': 'الجبيهة, الكمالية, عمان, 0962, Jordan / الأُرْدُن', 'class': 'place', 'type': 'neighbourhood', 'importance': 0.42}"
