name,price,img,km,year,type
باص بريجيو فان جيد جدإ,2500,https://opensooq-images.os-cdn.com/previews/220x0/44f9/79c1/44f979c1238c66170a86ac1a7a6c6d3516c6ec2cef63b3d73959398faa90fdd8.jpg.jpg,٠,2000,كيا
باص هونداي 96 بحاله جيده,2900,https://opensooq-images.os-cdn.com/previews/220x0/39fb/a205/39fba20569d487cf7cb9ac780bc860f06216f10be62a7d190e604d28ff2e2487.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1996,هيونداي
كيا بنجو بدو اعادة تسجيل 4 سنوات,5000,https://opensooq-images.os-cdn.com/previews/220x0/5aa9/fa15/5aa9fa15bf6e87ddb4dfd35c164b94fe40cf22bd9488de45397a893cc81fa3d2.jpg.jpg,"١ - ٩,٩٩٩",2002,كيا
البيع بسعر مغري مستعجل,3300,https://opensooq-images.os-cdn.com/previews/220x0/40a0/2f50/40a02f5031baf971a05ec12840c59c8b1cedf687409e652c6cb42bdcefd113f8.jpg.jpg,"١٣٠,٠٠٠ - ١٣٩,٩٩٩",2002,ساب
مرسيدس كلاسيك 1996 شبح للبيع,9500,https://opensooq-images.os-cdn.com/previews/220x0/2002/7df1/20027df14511c16f384815c457cf8839601c079b7a67f5c7caa09133a460ab22.jpg.jpg,"١٨٠,٠٠٠ - ١٨٩,٩٩٩",1996,مرسيدس بنز
SAAB 9-3 Aero,11000,https://opensooq-images.os-cdn.com/previews/220x0/f761/65d3/f76165d39350f022b7d1a5e8077982318dfed68668176ac9b9c8154ecd695cf7.jpg.jpg,"١٤٠,٠٠٠ - ١٤٩,٩٩٩",2010,ساب
باص هواندي اامتد 2011  بحاله ممتازه,11750,https://opensooq-images.os-cdn.com/previews/220x0/0377/85d0/037785d0bb0746a41959ce38c282062a7f5f95c4a82851c543f7c73594e792ca.jpg.jpg,"١٠٠,٠٠٠ - ١٠٩,٩٩٩",2011,هيونداي
هيونداي النترا 2016,13000,https://opensooq-images.os-cdn.com/previews/220x0/3257/bef1/3257bef1e0faf3f9d6226171e98add0c154d0fe1edaeacc91b12cabf58d9db52.jpg.jpg,"٧٠,٠٠٠ - ٧٩,٩٩٩",2016,هيونداي
كيا سيفا موديل 96للبيع,2900,https://opensooq-images.os-cdn.com/previews/220x0/40b2/967f/40b2967f5d88dce1e0117ceedd6883f797b872e2d968a45a115e3f02706642db.jpg.jpg,٠,1996,كيا
إم دي 2014  للبيع بسعر مغري,9300,https://opensooq-images.os-cdn.com/previews/220x0/392a/55aa/392a55aaac3e8066ac39c13d9657316c9a50fcf940262e122a97eff4fee9ab55.jpg.jpg,"٢٠٠,٠٠٠+",2014,هيونداي
جولف 2003  mk4 اوتوماتيك للبيع فقط,4500,https://opensooq-images.os-cdn.com/previews/220x0/0da2/3190/0da23190449efc80dbcb967c904677b47a6fa572455f5a3c44d4599c137492d4.jpg.jpg,٠,2003,فولكسفاغن
مرسيدس فينو 2010,13500,https://opensooq-images.os-cdn.com/previews/220x0/5b53/593b/5b53593b0a2e51cec0f9267f093d0ca6411fe5ea52c6ffecf33bbddcde119328.jpg.jpg,"٢٠٠,٠٠٠+",2010,مرسيدس بنز
ديانا موديل 96 ماتور 15 فحص السياره بصلاة على النبي نخب الله يبارك لصاحب النصيب,8000,https://opensooq-images.os-cdn.com/previews/220x0/b2dc/79fb/b2dc79fbba10999b866e6c53837cb4685e4d7bc03afe792c7652b33787839695.jpg.jpg,"٨٠,٠٠٠ - ٨٩,٩٩٩",1996,تويوتا
كيا نيرو 2018 امريكي فحص كامل كلين ولا ملاحظة للبيع,17400,https://opensooq-images.os-cdn.com/previews/220x0/9837/dd9f/9837dd9fb308297c357de587b77ae3f119f63ace2772888b28cb2fc9d528d746.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2018,كيا
بكب بنجو للبيع,4000,https://opensooq-images.os-cdn.com/previews/220x0/da96/1c3b/da961c3b94a9efe946936e58cf6129dbef03032d851fca40cdb54882379905bc.jpg.jpg,"٩٠,٠٠٠ - ٩٩,٩٩٩",1999,كيا
تويوتا بريوس 2010,8400,https://opensooq-images.os-cdn.com/previews/220x0/e265/4744/e26547440c99354f8b328ab7298505e9ff74e3f113e75722dfc6436848012a89.jpg.jpg,"١٥٠,٠٠٠ - ١٥٩,٩٩٩",2010,تويوتا
فورد سكيب ...3جيد + 1 خلفي قصعة بالرأس+ ماشية فقط 100الف فقط+4 ويل + ترخيص لشهر 1/2021,16000,https://opensooqui2.os-cdn.com/noImage/no-image-ar.png,"١٠٠,٠٠٠ - ١٠٩,٩٩٩",2011,فورد
كيا 2 جير توماتيك 0781148248,3650,https://opensooq-images.os-cdn.com/previews/220x0/79d9/6210/79d962103d238acbdf007d43db8359e82aa6021fee35c4553228f7c22ddc8372.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",1997,كيا
للبدل بسياره جيب أعلى او اقل سعر فحص 4جيد,17500,https://opensooq-images.os-cdn.com/previews/220x0/ca57/177e/ca57177eb4de161ced1cc2a5b465bd3c977e950e07d86cab75dfe66b15541111.jpg.jpg,"١ - ٩,٩٩٩",2017,فورد
هونداي اكسنت للبيع,3700,https://opensooq-images.os-cdn.com/previews/220x0/58b2/aae0/58b2aae0a8e93bc6d3cafd1c9784aca5ddfd8f2e6573f4cf0d75b0d8c218da35.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1998,هيونداي
تويوتا بريوس جمرك جديد 2016,14400,https://opensooq-images.os-cdn.com/previews/220x0/91f9/0d76/91f90d768feaf173880ac8f281aaa413ddbdc508b0b1be163679c6429a58c5df.jpg.jpg,"٤٠,٠٠٠ - ٤٩,٩٩٩",2016,تويوتا
شفر سبارك فحص 2014,7250,https://opensooq-images.os-cdn.com/previews/220x0/a59a/43f8/a59a43f8e694619778f8e5675e7550e8b57971a1f191dcda18ae1ff886ab53c1.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2014,شيفروليه
name,price,img,km,year,type
نيسان ميكرا فحص 2015,8300,https://opensooq-images.os-cdn.com/previews/220x0/23aa/f126/23aaf126d61774436bfae68efe9298f364e5201ea17d833f6ca79ee3d5031b92.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2015,نيسان
Tesla Model S 85 2014 (كلين تايتل) من المالك مباشرة,31900,https://opensooq-images.os-cdn.com/previews/220x0/fa9e/f8c6/fa9ef8c64b1a21966b3274cdbeaf4c778c213b869ad30d011dee86d3a9b0ffe8.jpg.jpg,٠,2014,تيسلا
كيا سيفا ون 1995,2300,https://opensooq-images.os-cdn.com/previews/220x0/abb7/5397/abb75397e355379b87e0eb55ffe0e2ef0abd53b54993fac81b2392e4744fd685.jpg.jpg,٠,1995,كيا
بكم اسوزو 98 LS فل كامل ماعدا القير والمري ماتور 2500 ترخيص لشهر /1 /2021,59965,https://opensooq-images.os-cdn.com/previews/220x0/19f7/8d0a/19f78d0a8f67dc9aede5f8f1fc9599bdb39e3dca22875564954f4b22964cf38c.jpg.jpg,"١ - ٩,٩٩٩",1998,ايسوزو
مرسيدس  E200  للبيع,14000,https://opensooq-images.os-cdn.com/previews/220x0/a1d0/d7ed/a1d0d7edea88fda2bbbd8a3846ef095ec449a0600b991d4ca91e0801362a8483.jpg.jpg,٠,2003,مرسيدس بنز
افانتي دفعه 2000 والباقي ميات,5000,https://opensooq-images.os-cdn.com/previews/220x0/9aca/daa6/9acadaa679466a14bd0740c9f67ad4807b46f67e306918871b2f12f4e0fd8aeb.jpg.jpg,٠,1996,هيونداي
هونداي تيبرون 2001,5000,https://opensooq-images.os-cdn.com/previews/220x0/0f22/97e0/0f2297e09e44708ffdfff2595144681e0e9ffcf5b9fb7688fb4222d9944add98.jpg.jpg,٠,2001,هيونداي
هوندا سفيك 1996,6000,https://opensooq-images.os-cdn.com/previews/220x0/d203/9688/d2039688d47c13278e1c6a42fc9902bf658d87ac6ed1da8c55ddd4a2ff30b258.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1996,هوندا
تويتا كورولا 1989,2500,https://opensooq-images.os-cdn.com/previews/220x0/c177/3deb/c1773debdcc2027d536ed2a8ad4c7f70df092943491c3801bd2d40eeb5149f5f.jpg.jpg,٠,1989,تويوتا
جولف tsi 2011 للبيع او بدل,12000,https://opensooq-images.os-cdn.com/previews/220x0/88c1/af84/88c1af8486e315de4336f42b994d7b06b930442cd001a4ebe5a4012b9b8b5c86.jpg.jpg,"١٠٠,٠٠٠ - ١٠٩,٩٩٩",2011,فولكسفاغن
E60 525I FOR SALE,15700,https://opensooq-images.os-cdn.com/previews/220x0/d99e/c759/d99ec7599fe40446aee55ebc2ad5e7d05fdec8b649223dd6eadbb97ad72d5a32.jpg.jpg,"١٩٠,٠٠٠ - ١٩٩,٩٩٩",2007,بي ام دبليو
تويوتا كامري للبيع,12900,https://opensooq-images.os-cdn.com/previews/220x0/773f/2b52/773f2b52e3c55d36d86a972743d148b992557aa5969b7e5f93cf889f2a2ff47b.jpg.jpg,"١٣٠,٠٠٠ - ١٣٩,٩٩٩",2011,تويوتا
مطلوب كيا 1997,3500,https://opensooqui2.os-cdn.com/noImage/no-image-ar.png,"٦٠,٠٠٠ - ٦٩,٩٩٩",1997,كيا
بيجو 206 موديل 2001,2800,https://opensooq-images.os-cdn.com/previews/220x0/80c4/ebfe/80c4ebfe5e02e607ff072a0ee98e047f3258181d9590d9da4118a5ccd126a24f.jpg.jpg,"٢٠٠,٠٠٠+",2001,بيجو
جبل الحسين,250,https://opensooq-images.os-cdn.com/previews/220x0/1b17/e9d1/1b17e9d12c31b1090364e69bad4752f31368ab97d57d5abe03d776a89c92d6af.jpg.jpg,٠,2020,تويوتا
BMW E46 Ci 2002  بسه بحاله ممتازه فل مسكر,9500,https://opensooq-images.os-cdn.com/previews/220x0/8284/aebc/8284aebc6ab59f938fd8d2bf2057d8a1ce30fce3706ee492bc77a54abebeca8d.png.jpg,٠,2002,بي ام دبليو
RAM 1500 HEMI 5.7,31000,https://opensooq-images.os-cdn.com/previews/220x0/77cf/a0f8/77cfa0f842deb243d8346fead5540bc6cd40488cd5affaa8e42579accc09a48d.jpg.jpg,"٣٠,٠٠٠ - ٣٩,٩٩٩",2019,دودج
للبيع سياره مميزه جدا كيا سيراتو 2016 لون اسود ملوكي,12000,https://opensooq-images.os-cdn.com/previews/220x0/9c7d/7a4b/9c7d7a4b500d4cddcc156c4aca8c239d17e001268a04a8ff54e24625ae26f13b.jpg.jpg,"٦٠,٠٠٠ - ٦٩,٩٩٩",2016,كيا
جيب كيا سورانتو للبيع و بدل,7000,https://opensooq-images.os-cdn.com/previews/220x0/6d7e/0a32/6d7e0a32abecf4e41ceb6951478ad1f483425b14cc16c292dbf297a888818701.jpg.jpg,٠,2005,كيا
سياره هوندا CRV 2011 فحص كامل 7 جيد/للبيع او البدل على موديل احدث,18000,https://opensooq-images.os-cdn.com/previews/220x0/3278/fdb2/3278fdb27f3d0254e06e5806fa58fe0f6eb93f4aa211efa12c26f74563ee0fc6.jpg.jpg,"١ - ٩,٩٩٩",2011,هوندا
هونداي أكسنت 2016,11250,https://opensooq-images.os-cdn.com/previews/220x0/7458/58f9/745858f9cb48469ca5579c503d2112eb42743eb461e5733fa594ddf27271ebc8.jpg.jpg,"٦٠,٠٠٠ - ٦٩,٩٩٩",2016,هيونداي
كيا سيفيا 94 ، نخب ، للبيع او البدل على سياره يكون ثمنها اقل مع دفع الفرق كاش,2750,https://opensooq-images.os-cdn.com/previews/220x0/6585/9efb/65859efb624ed0553b80cddd1f6c8e5da077a6a34979e03de20dbdd06eeeec2d.jpg.jpg,"٢٠٠,٠٠٠+",1994,كيا
name,price,img,km,year,type
كتاب شطب للبيع متور 1600,1100,https://opensooqui2.os-cdn.com/noImage/no-image-ar.png,"١٦٠,٠٠٠ - ١٦٩,٩٩٩",1996,لادا
فحص دقات,4000,https://opensooq-images.os-cdn.com/previews/220x0/8bc4/5c60/8bc45c60e9f9b247dd95fe6fd6086a731362b433fa56b6d5258204d920547f0d.jpg.jpg,"٧٠,٠٠٠ - ٧٩,٩٩٩",2001,كيا
بسم الله الرحمان الرحيم باص مستبيشي 2008 جمرك جديد فحص 4جيد للبيع,22000,https://opensooq-images.os-cdn.com/previews/220x0/bd4a/7cdc/bd4a7cdc036c911ff5ca86307d4bcd49602121cbb67eb007e2f009af343d74d8.jpg.jpg,"١ - ٩,٩٩٩",2008,ميتسوبيشي
ابو ناصر,1200,https://opensooq-images.os-cdn.com/previews/220x0/6e8a/4c17/6e8a4c179b2f270b7c1758e1421fd250ccfef72966afd12bdf2cbd01da796189.jpg.jpg,"١ - ٩,٩٩٩",1994,دايو
سياره صلات النبي عليهااا,11111,https://opensooq-images.os-cdn.com/previews/220x0/57d6/dc5c/57d6dc5c3e7fe087e9dd6fa32b59bf001331696c948123c8363ea7c7c0c72584.jpg.jpg,"١ - ٩,٩٩٩",1993,هيونداي
BMW 1995 اوتوماتيك للبيع او البدل,5650,https://opensooq-images.os-cdn.com/previews/220x0/06f8/0ff2/06f80ff2ffab4c76a7a79f5c93ef53bb65f731d413bedef3b232651177002734.jpg.jpg,"١ - ٩,٩٩٩",1995,بي ام دبليو
بيجو نيو 307 موديل 2008 توماتيك,5250,https://opensooq-images.os-cdn.com/previews/220x0/3ed6/bb0f/3ed6bb0fff28914e9b5cf766ed19845327fd1a5bdbea5faee294511f56e3c82a.jpg.jpg,"١ - ٩,٩٩٩",2008,بيجو
دايو لأنوس 96,2200,https://opensooq-images.os-cdn.com/previews/220x0/8e36/684e/8e36684e5b01fd86dddc4c6f76640634ff97f83cf30265151e828ab499e18783.jpg.jpg,"١ - ٩,٩٩٩",1996,دايو
mitsubishi Lancer 89 للبدل,2650,https://opensooq-images.os-cdn.com/previews/220x0/399d/314d/399d314dc69d63d8cce25ed5423d2b60eb857c259f42bb9bcf02759c472d490d.jpg.jpg,٠,1989,ميتسوبيشي
متسوبيشي لانسر 2000,4200,https://opensooq-images.os-cdn.com/previews/220x0/3ad9/9bf5/3ad99bf55647b40108784a203e5f5e84e347c330c8a05101f2070584998eee58.jpg.jpg,"١ - ٩,٩٩٩",2000,ميتسوبيشي
دايو لانوس 1998,2800,https://opensooq-images.os-cdn.com/previews/220x0/c25c/951c/c25c951c52b110b50c0b50f32155fce779999b24f9a0ba0191171edef83f6a85.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",1998,دايو
مرسيدس s300 كامله فل الفل أصلها 280 موديل 83,6300,https://opensooq-images.os-cdn.com/previews/220x0/a2d5/eb5e/a2d5eb5eec9a842165c976f3d131cdf70a49310c6c09b7643eb14727dd60176e.jpg.jpg,"١٩٠,٠٠٠ - ١٩٩,٩٩٩",1991,مرسيدس بنز
نيسان مورانو 2006 نخب للبيع,8900,https://opensooq-images.os-cdn.com/previews/220x0/bbb2/2aa0/bbb22aa06a55a1095b12c507a1f73a438c05d72152b3679fc6b7c390a24ab9d4.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2006,نيسان
مرسيدس -E200-CGI-Kit AMG- للبيع.,40900,https://opensooq-images.os-cdn.com/previews/220x0/cb9d/13bc/cb9d13bc60ae116f07da350957af3417525aabb397b07efa184ba87c467e92f1.jpg.jpg,"٩٠,٠٠٠ - ٩٩,٩٩٩",2016,مرسيدس بنز
هونداي اكسنت 97 للبيع,3200,https://opensooq-images.os-cdn.com/previews/220x0/5397/c764/5397c764ce23cfcf820f022539e775c87df47e484b8bcf5d03fb0eceb481c2f3.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",1997,هيونداي
مرسيدس 280 موديل 1984,4000,https://opensooq-images.os-cdn.com/previews/220x0/8d53/513d/8d53513daab3dd6bfdb1bff6483da7f092f397cbfe68019eb2a4574d37180a0f.jpg.jpg,٠,1984,مرسيدس بنز
باص هيونداي اتش100 99,3400,https://opensooq-images.os-cdn.com/previews/220x0/5c7b/1161/5c7b1161a8efb4513cab0deca8e083f2a2d4ccf37891e734cc3344f64ab55ae6.jpg.jpg,"١ - ٩,٩٩٩",1999,هيونداي
هونداي اكسنت96 هاتشباك,3400,https://opensooq-images.os-cdn.com/previews/220x0/e968/2a5a/e9682a5a093976a3dd63eb9afde6f301c46a0229331d948dea9eb8d7fd983f36.jpg.jpg,"٢٠٠,٠٠٠+",1996,هيونداي
كيا سيفيا اتوماتيك 1995,2200,https://opensooq-images.os-cdn.com/previews/220x0/d51a/5694/d51a56947a376d9e7f67b07ecd5f677d9d66005b5ffede5870fcbff7dbf22395.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1996,كيا
رينو فإن 2000 اقساط,1000,https://opensooq-images.os-cdn.com/previews/220x0/daac/af67/daacaf67533f20f49f10dbfb838f117973a52f287a03d26e272f51bc56427090.jpg.jpg,"١ - ٩,٩٩٩",2000,رينو
ابي ام E46 2000,7700,https://opensooq-images.os-cdn.com/previews/220x0/79d3/67c7/79d367c797e4a0585fde940c7ef500cec19527f582590ceeff6d811145600ac9.jpg.jpg,"١ - ٩,٩٩٩",2000,بي ام دبليو
دايو نوبيرا 2000,1600,https://opensooq-images.os-cdn.com/previews/220x0/dbd2/1333/dbd21333946a29a3511dcff8cbf282e2beedb71e669573c9ae7db410ec4e68a4.jpg.jpg,٠,2000,دايو
name,price,img,km,year,type
تويوتا بريوس سي 2014,8700,https://opensooqui2.os-cdn.com/noImage/no-image-ar.png,"٨٠,٠٠٠ - ٨٩,٩٩٩",2014,تويوتا
تويوتا كارولا 1991,3000,https://opensooq-images.os-cdn.com/previews/220x0/266b/d5e2/266bd5e217a9d9633f20bb1dfa93e0b49eeb6c52ba26e67ecb67c693ca3454ab.jpg.jpg,٠,1991,تويوتا
سبارك كهربا spark ev,8100,https://opensooq-images.os-cdn.com/previews/220x0/0fd3/b7de/0fd3b7def11e8799725de6804ae2ed6c5bab4d7c16ea01a4d8d9fa5a5ed61a1a.jpg.jpg,"٣٠,٠٠٠ - ٣٩,٩٩٩",2014,شيفروليه
فورد اكسبلورر جيب 2008 للبيع او البدل,11000,https://opensooq-images.os-cdn.com/previews/220x0/8aca/8318/8aca8318e70460a1407b89252736065efcac1bfef8862fca1fdc1acae4d77ba4.jpg.jpg,"١٦٠,٠٠٠ - ١٦٩,٩٩٩",2008,فورد
هيونداي ايونك 2018 حرة غير مجمركة,9800,https://opensooq-images.os-cdn.com/previews/220x0/9f8d/afd2/9f8dafd2039b86573468e240b5876a62152af28c2387ede74c291c83c7c170d2.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2018,هيونداي
نيسان صني ياباني 2004,8500,https://opensooq-images.os-cdn.com/previews/220x0/be92/0f88/be920f884a9561572a0f61d7467daf4acc37ccd842bc778100ea5ba33a0f4501.jpg.jpg,"٢٠٠,٠٠٠+",2004,نيسان
كيا ون سيفيا 96,2100,https://opensooqui2.os-cdn.com/noImage/no-image-ar.png,"١٠,٠٠٠ - ١٩,٩٩٩",1996,كيا
هوندا سيفيك 2007,7500,https://opensooq-images.os-cdn.com/previews/220x0/9693/bea9/9693bea9f3b81d7296ed161776bfdba0d3e853f36f9b93aa90a5ebdef9696f39.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",2007,هوندا
اودي A4 2006 (فحص كامل),10500,https://opensooq-images.os-cdn.com/previews/220x0/8a8b/8d26/8a8b8d26434211aea13eca70190c56a6e66e347225d9f6b49fbba6a9542e7c98.jpg.jpg,"١٨٠,٠٠٠ - ١٨٩,٩٩٩",2006,أودي
بيع سياره فيتا,2700,https://opensooq-images.os-cdn.com/previews/220x0/9ea5/b962/9ea5b962dc6b735cfb69b96a0240c7d16088bb0901a09e71fb5b9cf192bb0e90.jpg.jpg,٠,1994,أوبل
كياء ون سيفيا 95,2400,https://opensooq-images.os-cdn.com/previews/220x0/986f/aa9e/986faa9e4dbbe92102467bb508712cb3195897375f87425e8894020604c10f54.jpg.jpg,"٣٠,٠٠٠ - ٣٩,٩٩٩",1995,كيا
2005  GMC جي ام سي,6499,https://opensooq-images.os-cdn.com/previews/220x0/dacb/ec29/dacbec291c0f4e38053aa0c60bb3b525e2832d49663a604ec8dbb85317cb6c85.jpg.jpg,٠,2005,جي إم سي
بي ام 525 فحص كامل 2002,8500,https://opensooq-images.os-cdn.com/previews/220x0/b5b4/d82e/b5b4d82e3f51595023b2914c1a1ffdf40e5b98b94f43965f7756a8424e24a32b.jpg.jpg,"١٠٠,٠٠٠ - ١٠٩,٩٩٩",2002,بي ام دبليو
فوكسواجن قولف 1998,5000,https://opensooq-images.os-cdn.com/previews/220x0/a4ee/4bad/a4ee4bad95f55d7038e85b6c29b8cd785b2e3e06311e2f686b22bffc012e5fda.jpg.jpg,"١ - ٩,٩٩٩",1998,فولكسفاغن
هيونداي افانتي موديل 1996,4700,https://opensooq-images.os-cdn.com/previews/220x0/fb6c/82a1/fb6c82a1aad1734f675ccbe3fef4d00040a705224feff2fefff8756f350652a3.jpg.jpg,"١٢٠,٠٠٠ - ١٢٩,٩٩٩",1996,هيونداي
كاديلاك اسكاليد هايبرد 2009 دفع رباعي,25900,https://opensooq-images.os-cdn.com/previews/220x0/f15e/fa3d/f15efa3d7060bbfc2b71358054eb5662400804ada0a2821c0001bd2cb6b1f0f9.jpg.jpg,"١٤٠,٠٠٠ - ١٤٩,٩٩٩",2009,كاديلاك
هنداي أكسنت موديل 1998,2900,https://opensooq-images.os-cdn.com/previews/220x0/7ebd/99c8/7ebd99c8cf128fa895d4fb56623fabb928a96a401808eb5e3fa366e45003cfb4.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1998,هيونداي
هوندا سيفيك هايبرد 2007,6100,https://opensooq-images.os-cdn.com/previews/220x0/9549/5554/95495554f3e341df80f674aa8c6ab2382eb1e50c7ac19bf5cb2642f26dd0488b.jpg.jpg,"٢٠٠,٠٠٠+",2007,هوندا
تويوتا كورولا 97 للبيع او البدل,3750,https://opensooq-images.os-cdn.com/previews/220x0/1e22/5fe9/1e225fe98bd7a6c2b854a1de9a7de350e6feb0af8de4ba2465080f8e637df01a.jpg.jpg,"١٩٠,٠٠٠ - ١٩٩,٩٩٩",1997,تويوتا
فيات بسعر مميز موديل 2016,9800,https://opensooq-images.os-cdn.com/previews/220x0/8f7b/3f48/8f7b3f48a7d5703f72483893a6954a24cb79420ec38a6da613bcd56bf3d7505e.jpg.jpg,"٣٠,٠٠٠ - ٣٩,٩٩٩",2016,فيات
للبيع أو للبدل chevrolet silverado 2016,23000,https://opensooq-images.os-cdn.com/previews/220x0/10ce/eb92/10ceeb9277bb9266ae1b5beea021da6fc7afcee89dd901fd476832b8e1c656f1.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2016,شيفروليه
بكم تويتا لون كحلي هايلوكس  2004,7500,https://opensooq-images.os-cdn.com/previews/220x0/b06b/b83e/b06bb83e65f094658bc78a200045c0e7fb397d9f43039e7601865b8d9c263365.jpg.jpg,٠,2004,تويوتا
اوبتيما 2012,11500,https://opensooq-images.os-cdn.com/previews/220x0/df6b/b18d/df6bb18d0740a2db60c557dd4741948554236e2a4061bdabae07db1913ede50e.jpg.jpg,"١٢٠,٠٠٠ - ١٢٩,٩٩٩",2012,كيا
شفرليه بليزر 2004 اتوماتيك,8500,https://opensooq-images.os-cdn.com/previews/220x0/aaeb/207e/aaeb207ea1b9d5f2bbe4c9a95963466e0590d4277bc4e8ae61bea6adef905752.jpg.jpg,"١ - ٩,٩٩٩",2004,شيفروليه
تويوتا بريوس 2015,13100,https://opensooq-images.os-cdn.com/previews/220x0/1c09/7137/1c097137519321a1c0ffa638554505477820b8141c8ac47a85b0278466a21f85.jpg.jpg,"١٠٠,٠٠٠ - ١٠٩,٩٩٩",2015,تويوتا
مرسيدس 200 لف موديل 84نفض كامل,1950,https://opensooq-images.os-cdn.com/previews/220x0/94d5/cb86/94d5cb86bacddfcbde41df75ead115630dc1dd679dca11dd92cf9db0b71fdd5b.jpg.jpg,"١٠٠,٠٠٠ - ١٠٩,٩٩٩",1984,مرسيدس بنز
name,price,img,km,year,type
فيات بونتو 2001,3000,https://opensooq-images.os-cdn.com/previews/220x0/bfea/f903/bfeaf90387835e1c8977ec1f8af30ee150372122b46ec2ebd2366214557fd2d3.jpg.jpg,"١ - ٩,٩٩٩",2001,فيات
هونداي سوناتا 2005,2400,https://opensooq-images.os-cdn.com/previews/220x0/1d12/c0a4/1d12c0a447005ad2ab11a7e1d809d0727527a7a80d8be828745d79296ee21d8d.jpg.jpg,"١٨٠,٠٠٠ - ١٨٩,٩٩٩",2005,هيونداي
هونداي توسان 2009 للبيع,9500,https://opensooq-images.os-cdn.com/previews/220x0/e0e3/4cb4/e0e34cb4d4818ff542c466cc46cfc41aa59f3f5f0b25bb6c2d466975de82d1d4.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2009,هيونداي
متسوبشي لنسر الصبونه موديل 92,2200,https://opensooq-images.os-cdn.com/previews/220x0/53a0/2063/53a02063b55a9903daf1c9f928d3644c70414677f50e6ebf315784e13982a66c.jpg.jpg,"١ - ٩,٩٩٩",1992,ميتسوبيشي
لينكولن 2016 الصنف الأعلى,19650,https://opensooq-images.os-cdn.com/previews/220x0/2ea3/f7a3/2ea3f7a377fda0b8fd702486f288a01bf4e6f87a271377f8d3e88de5e95b873b.jpg.jpg,"٦٠,٠٠٠ - ٦٩,٩٩٩",2016,لينكولن
جيب كيا سبورتاج جير عادي موديل 2000,2500,https://opensooq-images.os-cdn.com/previews/220x0/b18d/e24d/b18de24d0d288905e6176f57a3bb1185d66e27eae9cf25ab5f18bf6511c6612e.jpg.jpg,"٢٠٠,٠٠٠+",2000,كيا
مرسيدس بطه ستيشن محدثه 95,3400,https://opensooq-images.os-cdn.com/previews/220x0/ef4d/8244/ef4d8244284dfe057350f40c4f78d83fd10eacb0d0e76ac85fadfefc67c11d82.jpg.jpg,"٢٠٠,٠٠٠+",1987,مرسيدس بنز
Ford Fusion Titanium 2019 المناخ  فوردفيوجن تيتانيوم خمري داخل قرميدي,26500,https://opensooq-images.os-cdn.com/previews/220x0/db2c/2928/db2c2928502f383a61cf61cacaf20822a19cde8ef416693c41b05131e4e005be.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2019,فورد
Mercedes-Benz B250 2015  2016المناخ مرسيدس كهرباء اسود,16500,https://opensooq-images.os-cdn.com/previews/220x0/776e/92c2/776e92c206a2c7de8d49e159028c266773d5a67d5f066255d72a9155f6a07c99.jpg.jpg,"١ - ٩,٩٩٩",2015,مرسيدس بنز
جولف اتوماتيك موديل 2001 للبدل او للبيع,6500,https://opensooq-images.os-cdn.com/previews/220x0/921d/1162/921d116215633c689f3439f2a0a5d5c489507b9f85cba682ed214498b88a2492.jpg.jpg,"١ - ٩,٩٩٩",2001,فولكسفاغن
مرسيدس بطه 1985,3700,https://opensooq-images.os-cdn.com/previews/220x0/8f84/de8d/8f84de8d8879d0c8b65cc92005f4f650a707ca1e32b087f1df54e109f91c9b8f.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1985,مرسيدس بنز
كيا اوبتما k5 فحص كامل فل كامل 2012,12800,https://opensooq-images.os-cdn.com/previews/220x0/73f0/655b/73f0655b198e69b3c1df1d586719c21b9b6930fef290553523ed3472d1d95566.jpg.jpg,"١ - ٩,٩٩٩",2012,كيا
نيسان ليف مدخلين 2015,8500,https://opensooq-images.os-cdn.com/previews/220x0/73c0/2e25/73c02e25a1aaf36099801e9b49afac3d0216103f10821204cc1541b5345c226c.jpg.jpg,"١ - ٩,٩٩٩",2015,نيسان
