name,price,img,km,year,type
هونداي تيبرون 1997 للبيع,3800,https://opensooq-images.os-cdn.com/previews/220x0/a7e8/a3ba/a7e8a3bad80f5a1b76a872270805eb90e12bc6e460f30fda42696395d67243bf.jpg.jpg,"٢٠٠,٠٠٠+",1997,هيونداي
بكب نيسان 91 متور 27 تيربو,1800,https://opensooq-images.os-cdn.com/previews/220x0/3b7f/0788/3b7f0788d1c7a1c59e861fe4b509daae28e4709a4e9522823c566bb6c4eaedc1.jpg.jpg,"١ - ٩,٩٩٩",1991,نيسان
جيب طوارق فل الفل ( فحص كامل ) مع هيدروليك للبيع كاش او تقسيط او البدل,5000,https://opensooq-images.os-cdn.com/previews/220x0/6f51/5514/6f515514f537575dd093c0c5196aac9e7b81a54413cffc0499b491f0a6fa4206.jpg.jpg,"١٤٠,٠٠٠ - ١٤٩,٩٩٩",2004,فولكسفاغن
باص كيا بريجو للبيع موديل 96 للبيع كاش ( الفحص مومتاز ),2900,https://opensooq-images.os-cdn.com/previews/220x0/0271/6af5/02716af5d2f407b5b814b47648601e42bb3b422f7ac17dbc61787a3e361efd04.jpg.jpg,٠,1996,كيا
Mercedes-Benz c200 للبيع او البدل,12345,https://opensooq-images.os-cdn.com/previews/220x0/012a/329d/012a329d4e3ca20dbca22923ac582a95d073ec420e3be7496ea9c39b79443b6c.jpg.jpg,"٢٠,٠٠٠ - ٢٩,٩٩٩",1995,مرسيدس بنز
هوندا سيفك 99 جير اتوماتيك,6500,https://opensooq-images.os-cdn.com/previews/220x0/fe0e/8329/fe0e832922703caa1561e4d7197f597b86409417b250d74e24865aed9e305533.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1999,هوندا
pajero 3.8l باجيرو 3800cc,15500,https://opensooq-images.os-cdn.com/previews/220x0/f6b0/11fb/f6b011fbc06054fa6dd91bad1111234de5fa84592b7fed7be912e737ac05b960.jpg.jpg,"١٧٠,٠٠٠ - ١٧٩,٩٩٩",2007,ميتسوبيشي
مرسيدس   300se موديل 1990,9750,https://opensooq-images.os-cdn.com/previews/220x0/4b8c/65dc/4b8c65dc0c7ba6c62396922b3bd5390d159c0b6e8fcfa3f1f96b91b54b93614c.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",1990,مرسيدس بنز
افانتي,3600,https://opensooq-images.os-cdn.com/previews/220x0/6364/3d19/63643d1971e57a0f68c3fc858d849dcaa3bc51c25acf12be6fcddb70387bb5e8.jpg.jpg,"١٤٠,٠٠٠ - ١٤٩,٩٩٩",1997,هيونداي
لانسر 2003,4750,https://opensooq-images.os-cdn.com/previews/220x0/fd13/4904/fd134904e2c3abfc186f7eb53cad7c84c4d23e78d9edb940fe0f215706dce54c.jpg.jpg,"٤٠,٠٠٠ - ٤٩,٩٩٩",2003,ميتسوبيشي
مرسيدس بطة 92,7000,https://opensooq-images.os-cdn.com/previews/220x0/089f/5c8d/089f5c8da522e77327923806dcf50d2e0afdb9bcf7c90348e1bf5c632cb8d0ec.jpg.jpg,٠,1992,مرسيدس بنز
دودج تشارجر 2007 فحص,8750,https://opensooq-images.os-cdn.com/previews/220x0/81b5/658e/81b5658e57e0981306088339d2e93f291178d32f4e2352ff03d1833af2449e3b.jpg.jpg,"١ - ٩,٩٩٩",2007,دودج
متسبيشي لانسر 1992,2900,https://opensooq-images.os-cdn.com/previews/220x0/b745/b9fb/b745b9fbea4d9d75ac0b37ffb7f9e6567cb7dcfca1367fb8dda4553a5e6ed804.jpg.jpg,"١ - ٩,٩٩٩",1992,ميتسوبيشي
هونداي ستاركس 2006 فحص,6500,https://opensooq-images.os-cdn.com/previews/220x0/51e0/36da/51e036da9b0a6b8d05dcd6f31177362715f6fc11e8cae684ba65b3c79db81c73.jpg.jpg,"٨٠,٠٠٠ - ٨٩,٩٩٩",2006,هيونداي
لانسر للبيع,7000,https://opensooq-images.os-cdn.com/previews/220x0/5fa0/fb97/5fa0fb97105062ec04e9907af737834ad0fa391dcf358106147341c989e298af.jpg.jpg,"١٨٠,٠٠٠ - ١٨٩,٩٩٩",2007,ميتسوبيشي
باص بريجو موديل 97فحص ممتاز لمتدد,2950,https://opensooq-images.os-cdn.com/previews/220x0/93f0/0e2d/93f00e2da1d479ce6f093665fc1e9885e28ef98f3c2f88e0784963646037166e.jpg.jpg,٠,1997,كيا
هونداي افانتي 95 للبيع,4400,https://opensooq-images.os-cdn.com/previews/220x0/96b9/bc59/96b9bc59a49515e8e920f05faa969cf40b88c8a59988900fd09e1c3a3aa65113.jpg.jpg,"١ - ٩,٩٩٩",1995,هيونداي
سول 2018 فل الكتريك فل مدخلين  ارخص سياره كهرباء,12599,https://opensooq-images.os-cdn.com/previews/220x0/eb25/8338/eb2583387ce47b64ac9fceb87916c8d9255a0903f43292baa8cc144de47a7566.jpg.jpg,"٥٠,٠٠٠ - ٥٩,٩٩٩",2018,كيا
فولفو فحص S80/850موديل 2000,5750,https://opensooq-images.os-cdn.com/previews/220x0/efca/d1fa/efcad1fa1ffeda8cc0efe661956087ffec56ac2f604bdd154bc20fc920825916.jpg.jpg,٠,2000,فولفو
E200 Avantgarde 2002,14000,https://opensooq-images.os-cdn.com/previews/220x0/b982/2458/b98224580f559c8820005053b0bd5fd5dbc96bdfa6e94ca8f96ed0946e67d68e.jpg.jpg,"٦٠,٠٠٠ - ٦٩,٩٩٩",2002,مرسيدس بنز
مرسيدس E200 2003 للبيع,14000,https://opensooq-images.os-cdn.com/previews/220x0/2d2a/3f4a/2d2a3f4a5798f97c04d4ccb2141c903894dde8cf0704d75c0d2b86baae351784.jpg.jpg,٠,2003,مرسيدس بنز
هوينداي AD موديل 2016 فحص كامل حره جديد,13800,https://opensooq-images.os-cdn.com/previews/220x0/361b/20f7/361b20f75295c385e106e490083309e15576ccdf1a6fcddf7e581662bc3fd8ff.jpg.jpg,"١ - ٩,٩٩٩",2016,هيونداي
رنج روفر,28000,https://opensooq-images.os-cdn.com/previews/220x0/139b/9903/139b99032451f4e9b5eea6fd030eca43b29159d5fcf4b7dea7f42416f7845dfa.jpg.jpg,"١٦٠,٠٠٠ - ١٦٩,٩٩٩",2008,لاند روفر
name,price,img,km,year,type
هونداي ايونيك فل كهرباء 2017,13900,https://opensooq-images.os-cdn.com/previews/220x0/ad32/8c78/ad328c78e856850ad16eb69ed8114b994f12a1f35ed6a4c2a4bd7176965dd782.jpg.jpg,"١٠,٠٠٠ - ١٩,٩٩٩",2017,هيونداي
فورد موستانج 2006,12500,https://opensooq-images.os-cdn.com/previews/220x0/0260/c2de/0260c2deb168eabe6f81cd3b3e202c77be8dc9cede768426db716513c152a859.jpg.jpg,"١ - ٩,٩٩٩",2006,فورد
جيب سنتافيه 2004 فحص 4 جيد فل مع فتحة,6500,https://opensooq-images.os-cdn.com/previews/220x0/bc72/a9e5/bc72a9e54d7ec17acdb78675a89a977d6ae6cfc827bb595c744a68e8a27f35fc.jpg.jpg,"١٧٠,٠٠٠ - ١٧٩,٩٩٩",2004,هيونداي
مرسيدس clk 2000,10000,https://opensooq-images.os-cdn.com/previews/220x0/c968/a5d1/c968a5d10de5a1aaeb5d904467742d9bf32d260abc2e231bc8fa63f67efea005.jpg.jpg,"١ - ٩,٩٩٩",2000,مرسيدس بنز
